idDiffusion	idLog	idAbonne
3059162	114385797	574834299
3059162	114385798	3034051
3059162	114385801	2329057
3059162	114385804	475939
3059162	114385805	13340697
3059162	114385807	864539
3059162	114385808	13303441
3059162	114385810	804046990
3059162	114385811	1326180
3059162	114385813	1499853
3059162	114385815	13264755
3059162	114385818	822509887
3059162	114385828	56857686
3059162	114385829	471986
3059168	115598277	1917004
3059168	115598324	1625968
3059168	115598326	1625968
3059165	115598328	1625968
3059168	115598329	1625968
3059165	115598330	1625968
3059165	115598331	1625968
3059165	115598332	1625968
3059162	115598334	1625968
3059165	115598336	1625968
1461603	115148961	1721682317
3059165	115148967	13341616
3059168	115148973	13315439
1461603	115148993	13054735
3059168	115149000	846718706
3059167	115149001	13054735
3059165	115149042	13027537
3059168	115149086	1895914
3059167	115149090	1046341167
3059167	115149100	980685071
1461603	115149119	980685071
3059168	115149120	980685071
1461603	115149143	1142801284
3059168	115149149	816350207
3059168	115149170	13133799
3059167	115149173	2138217
3059168	115149180	3010392
3059167	115149183	2138217
3059168	115149185	1773320
3059168	115149186	1773320
3059170	115149187	2138217
3059164	115149188	2138217
3059168	115149189	1773320
3059170	115149190	594853
3059168	115149191	1773320
3059167	115149192	594853
3059168	115149196	1773320
1461603	115149234	594853
3059168	115149235	594853
3059168	115149256	2138217
3059167	115149257	2138217
3059168	115149259	2138217
3059168	115149260	1846504
1461603	115149261	354790
3059168	115149263	1636126
3059168	115149268	354790
3059164	115149288	1811325680
3059168	115149314	343623
3059168	115149362	132844402
3059168	115149363	1448675397
3059162	114385688	1402595344
3059162	114385690	1305899687
3059162	114385691	1849344
3059162	114385692	3015519
3059162	114385696	1966321
3059162	114385697	12910034
3059162	114385698	1296879031
3059162	114385699	1976666
3059162	114385700	13289567
3059162	114385703	2072905291
3059162	114385705	1303294
3059162	114385706	1410340
3059162	114385707	1896165
3059162	114385708	1573465
3059162	114385710	1490950
3059162	114385711	483666
3059162	114385712	623661
3059162	114385713	1826834
3059162	114385714	13004338
3059162	114385715	396930
3059162	114385716	382952
3059162	114385717	12994389
3059162	114385718	2072905765
3059162	114385719	2088289203
3059162	114385721	1315683328
3059162	114385722	837194962
3059162	114385738	12897854
3059162	114385739	527998
3059162	114385740	1435524439
3059162	114385741	1276071
3059162	114385742	2596903
3059162	114385744	1854052
3059162	114385746	1540218
3059162	114385747	407427
3059162	114385748	286177197
3059162	114385749	885183
3059162	114385751	356143
3059162	114385752	2055097203
3059162	114385753	1272730
3059162	114385755	1804676397
3059162	114385756	1739256184
3059162	114385757	420044
3059162	114385758	1235370079
3059162	114385760	13031064
3059162	114385763	3040543
3059162	114385765	13095427
3059162	114385768	571323
3059162	114385769	12964466
3059162	114385770	2097873
3059162	114385771	983829142
3059162	114385773	11933
3059162	114385775	2155053
3059162	114385777	1256219
3059162	114385778	896507046
3059162	114385779	1206482
3059162	114385783	13304140
3059162	114385784	13264414
3059162	114385785	12952119
3059162	114385786	1810901
3059162	114385788	1786797
3059162	114385789	1033708565
3059162	114385790	1498273926
3059162	114385793	776852
3059162	114385794	1508867
3059170	115149386	1955981815
3059168	115149438	13180855
3059168	115149439	2407928
3059168	115149460	846718706
3059168	115149491	873235
3059168	115149508	13234836
1461603	115149514	13051625
3059168	115149531	1341361
3059168	115149536	1694265770
3059168	115149575	13269172
3059167	115149588	13269172
3059170	115149589	13269172
3059165	115149590	13269172
1462004	115149591	13269172
3059168	115149607	946699048
3059168	115149612	946699048
3059164	115149645	13269172
3059168	115149666	13104550
3059168	115149681	455351
3059162	115149689	95632187
1461603	115149703	455351
3059162	114385724	849628199
3059162	114385725	12977489
3059162	114385729	1095875
3059162	114385731	1759493439
3059162	114385732	1067562880
